,Make,Model,Year,MSRP,Front Wheel Size (in),Displacement,Engine Type,"Width, Max w/o mirrors (in)","Height, Overall (in)","Length, Overall (in)",Drivetrain,Passenger Capacity,Passenger Doors,Body Style,Net Horsepower,City Gas Mileage (mpg),Highway Gas Mileage (mpg)
2014 Nissan Sentra,Nissan,Sentra,2014,17240,16,18,Gas,69.3,58.9,182.1,FWD,5,4,4dr,130,30,40 
2013 Nissan Sentra,Nissan,Sentra,2013,16990,16,18,Gas,69.3,58.9,182.1,FWD,5,4,4dr,130,30,39 
2012 Nissan Sentra,Nissan,Sentra,2012,17610,15,20,Gas,70.5,59.5,179.8,FWD,5,4,4dr,140,27,34 
2011 Nissan Sentra,Nissan,Sentra,2011,17240,15,20,Gas,70.5,59.5,179.8,FWD,5,4,4dr,140,27,34 
2010 Nissan Sentra,Nissan,Sentra,2010,16600,15,20,Gas,70.5,59.5,179.8,FWD,5,4,4dr,140,26,34 
2009 Nissan Sentra,Nissan,Sentra,2009,16730,15,20,Gas,70.5,59.5,179.8,FWD,5,4,4dr,140,24,30 
2008 Nissan Sentra,Nissan,Sentra,2008,16140,15,20,Gas,70.5,59.5,179.8,FWD,5,4,4dr,140,25,33 
2024 Nissan Versa,Nissan,Versa,2024,17800,15,16,Gas,68.5,57.3,177,FWD,5,4,4dr,120,32,40 
2023 Nissan Versa,Nissan,Versa,2023,17650,15,16,Gas,68.5,57.3,177,FWD,5,4,4dr,120,32,40 
2022 Nissan Versa,Nissan,Versa,2022,17250,15,16,Gas,68.5,57.3,177,FWD,5,4,4dr,120,32,40 
2021 Nissan Versa,Nissan,Versa,2021,16650,15,16,Gas,68.5,57.3,177,FWD,5,4,4dr,120,32,40 
2020 Nissan Versa,Nissan,Versa,2020,16500,15,16,Gas,68.5,57.3,177,FWD,5,4,4dr,120,32,40 
2019 Nissan Versa,Nissan,Versa,2019,15650,15,16,Gas,66.7,60.5,163.7,FWD,5,4,4dr,100,31,39 
2018 Nissan Versa,Nissan,Versa,2018,15600,15,16,Gas,66.7,60.5,163.7,FWD,5,4,4dr,100,31,39 
2017 Nissan Versa,Nissan,Versa,2017,,,,,,,,,,,,,,
2016 Nissan Versa,Nissan,Versa,2016,13540,15,16,Gas,66.7,59.6,175.4,FWD,5,4,4dr,100,26,35 
2015 Nissan Versa,Nissan,Versa,2015,13490,15,16,Gas,66.7,59.6,175.4,FWD,5,4,4dr,100,26,35 
2014 Nissan Versa,Nissan,Versa,2014,12990,15,16,Gas,66.7,59.6,175.4,FWD,5,4,4dr,100,26,35 
2013 Nissan Versa,Nissan,Versa,2013,12990,15,16,Gas,66.7,60.400,176.0,FWD,5,4,4dr,100,26,35 
2012 Nissan Versa,Nissan,Versa,2012,13120,15,16,Gas,66.7,59.6,175.4,FWD,5,4,4dr,100,30,38 
2011 Nissan Versa,Nissan,Versa,2011,12420,14,16,Gas,66.7,60.4,176.0,FWD,5,4,4dr,100,25,33 
2010 Nissan Versa,Nissan,Versa,2010,12090,14,16,Gas,66.7,60.4,176.0,FWD,5,4,4dr,100,26,33 
2009 Nissan Versa,Nissan,Versa,2009,11990,14,16,Gas,66.7,60.4,176.0,FWD,5,4,4dr,100,26,33 
2008 Nissan Versa,Nissan,Versa,2008,13680,15,18,Gas,66.7,60.4,176.0,FWD,5,4,4dr,120,24,32 
2023 Nissan Armada,Nissan,Armada,2023,67370,22,56,Gas,79.9,75.8,208.9,RWD,8,4,SUV,400,14,19 
2022 Nissan Armada,Nissan,Armada,2022,66200,22,56,Gas,79.9,75.8,208.9,RWD,8,4,SUV,400,14,19 
2021 Nissan Armada,Nissan,Armada,2021,65300,22,56,Gas,79.9,75.8,208.9,RWD,8,4,SUV,400,14,19 
2020 Nissan Armada,Nissan,Armada,2020,60930,20,56,Gas,79.9,75.8,208.9,RWD,8,4,SUV,390,14,19 
2019 Nissan Armada,Nissan,Armada,2019,60330,20,56,Gas,79.9,75.8,208.9,RWD,8,4,SUV,390,14,19 
2018 Nissan Armada,Nissan,Armada,2018,59190,20,56,Gas,79.9,75.8,208.9,RWD,8,4,SUV,390,14,19 
2017 Nissan Armada,Nissan,Armada,2017,57590,20,56,Gas,79.9,75.8,208.9,RWD,8,4,SUV,390,14,19 
2015 Nissan Armada,Nissan,Armada,2015,49880,20,56,Gas,79.3,77.2,207.7,RWD,8,4,SUV,310,13,19 
2014 Nissan Armada,Nissan,Armada,2014,49960,20,56,Gas,79.3,77.2,207.7,RWD,8,4,SUV,310,13,19 
2013 Nissan Armada,Nissan,Armada,2013,49460,20,56,Gas,79.3,77.200,207.7,RWD,8,4,SUV,310,13,19 
2012 Nissan Armada,Nissan,Armada,2012,52220,20,56,Gas,79.3,77.2,207.7,RWD,8,4,SUV,310,13,19 
2011 Nissan Armada,Nissan,Armada,2011,50890,20,56,Gas,79.3,77.2,207.7,RWD,8,4,SUV,310,13,19 
2010 Nissan Armada,Nissan,Armada,2010,49690,20,56,Gas,79.3,77.2,207.7,RWD,8,4,SUV,310,12,18 
2009 Nissan Armada,Nissan,Armada,2009,45060,20,56,Gas,79.3,77.2,207.7,RWD,8,4,SUV,310,12,18 
2008 Nissan Armada,Nissan,Armada,2008,42000,20,56,Gas,79.3,77.2,207.7,RWD,8,4,SUV,310,12,18 
2024 Nissan Z,Nissan,Z,2024,64990,19,30,Gas,73.6,51.8,173.2,RWD,2,2,2dr,420,,
2023 Nissan Z,Nissan,Z,2023,50990,19,30,Gas,72.6,51.8,172.4,RWD,2,2,2dr,400,19,28 
2024 Nissan Frontier,Nissan,Frontier,2024,36700,17,38,Gas,73,71.3,224.1,RWD,5,4,Pickup,310,,
2023 Nissan Frontier,Nissan,Frontier,2023,35720,17,38,Gas,73,72.5,210.2,RWD,5,4,Pickup,310,18,24 
2022 Nissan Frontier,Nissan,Frontier,2022,35120,17,38,Gas,73,72.5,210.2,RWD,5,4,Pickup,310,18,24 
2020 Nissan Frontier,Nissan,Frontier,2020,27900,16,38,Gas,72.8,70.1,205.5,RWD,5,4,Pickup,310,18,24 
2019 Nissan Frontier,Nissan,Frontier,2019,28030,16,40,Gas,72.8,70.1,205.5,RWD,5,4,Pickup,260,16,23 
2018 Nissan Frontier,Nissan,Frontier,2018,27330,16,40,Gas,72.8,70.1,205.5,RWD,5,4,Pickup,260,16,22 
2017 Nissan Frontier,Nissan,Frontier,2017,28040,16,40,Gas,72.8,70.1,205.5,4WD,5,4,Pickup,260,15,21 
2016 Nissan Frontier,Nissan,Frontier,2016,26180,16,40,Gas,72.8,70.1,219.4,RWD,5,4,Pickup,260,16,22 
2015 Nissan Frontier,Nissan,Frontier,2015,32560,18,40,Gas,72.8,70.1,219.4,RWD,5,4,Pickup,260,16,22 
2014 Nissan Frontier,Nissan,Frontier,2014,31710,18,40,Gas,72.8,70.1,219.4,RWD,5,4,Pickup,260,16,22 
2013 Nissan Frontier,Nissan,Frontier,2013,31090,18,40,Gas,72.8,73.9,,RWD,5,4,Pickup,260,16,22 
2012 Nissan Frontier,Nissan,Frontier,2012,30290,18,40,Gas,72.8,73.9,,RWD,5,4,Pickup,260,15,20 
2011 Nissan Frontier,Nissan,Frontier,2011,29380,18,40,Gas,72.8,73.9,,RWD,5,4,Pickup,260,15,20 
2010 Nissan Frontier,Nissan,Frontier,2010,27120,18,40,Gas,72.8,73.9,,RWD,5,4,Pickup,260,15,20 
2009 Nissan Frontier,Nissan,Frontier,2009,27040,18,40,Gas,72.8,73.9,,RWD,5,4,Pickup,260,15,20 
2008 Nissan Frontier,Nissan,Frontier,2008,25930,17,40,Gas,72.8,73.9,,RWD,5,4,Pickup,260,15,20 
2024 Nissan Kicks,Nissan,Kicks,2024,20790,16,16,Gas,69.3,63.3,169.1,FWD,5,4,SUV,120,,
2023 Nissan Kicks,Nissan,Kicks,2023,20590,16,16,Gas,69.3,63.3,169.1,FWD,5,4,SUV,120,31,36 
2022 Nissan Kicks,Nissan,Kicks,2022,19990,16,16,Gas,69.3,63.3,169.1,FWD,5,4,SUV,120,31,36 
2021 Nissan Kicks,Nissan,Kicks,2021,19600,16,16,Gas,69.3,63.3,169.1,FWD,5,4,SUV,120,31,36 
2020 Nissan Kicks,Nissan,Kicks,2020,19070,16,16,Gas,69.3,62.4,169.1,FWD,5,4,SUV,120,31,36 
2019 Nissan Kicks,Nissan,Kicks,2019,18640,16,16,Gas,69.3,62.4,169.1,FWD,5,4,SUV,120,31,36 
2018 Nissan Kicks,Nissan,Kicks,2018,18290,16,16,Gas,69.3,62.4,169.1,FWD,5,4,SUV,120,31,36 
2024 Nissan Titan,Nissan,Titan,2024,59440,20,56,Gas,80.7,75.6,228.2,RWD,5,4,Pickup,400,,
2023 Nissan Titan,Nissan,Titan,2023,59320,20,56,Gas,80.7,75.6,228.2,RWD,5,4,Pickup,400,16,21 
2022 Nissan Titan,Nissan,Titan,2022,57500,20,56,Gas,80.7,75.6,228.1,RWD,5,4,Pickup,400,16,21 
2021 Nissan Titan,Nissan,Titan,2021,56440,20,56,Gas,80.7,75.6,228.1,RWD,5,4,Pickup,400,16,21 
2020 Nissan Titan,Nissan,Titan,2020,55490,20,56,Gas,80.7,75.6,228.1,RWD,5,4,Pickup,400,16,22 
2019 Nissan Titan,Nissan,Titan,2019,54630,20,56,Gas,80.7,75.6,228.1,RWD,5,4,Pickup,390,15,21 
2018 Nissan Titan,Nissan,Titan,2018,53710,20,56,Gas,80.7,75.6,228.1,RWD,5,4,Pickup,390,15,21 
2017 Nissan Titan,Nissan,Titan,2017,52760,20,56,Gas,80.7,75.6,228.1,RWD,5,4,Pickup,390,15,21 
2016 Nissan Titan,Nissan,Titan,2016,57470,20,50,Diesel,80.7,78.7,242.8,RWD,5,4,Pickup,310,,
2015 Nissan Titan,Nissan,Titan,2015,32060,18,56,Gas,79.5,74.7,224.6,RWD,6,4,Pickup,310,13,18 
2014 Nissan Titan,Nissan,Titan,2014,34440,18,56,Gas,79.5,74.7,244.2,RWD,6,4,Pickup,310,,
2013 Nissan Titan,Nissan,Titan,2013,34350,18,56,Gas,79.5,74.7,,RWD,6,4,Pickup,310,13,18 
2012 Nissan Titan,Nissan,Titan,2012,33170,18,56,Gas,79.5,74.7,,RWD,6,4,Pickup,310,13,18 
2011 Nissan Titan,Nissan,Titan,2011,32060,18,56,Gas,79.5,74.7,,RWD,6,4,Pickup,310,13,18 
2010 Nissan Titan,Nissan,Titan,2010,31190,18,56,Gas,79.5,74.7,,RWD,6,4,Pickup,310,13,17 
2009 Nissan Titan,Nissan,Titan,2009,36650,20,56,Gas,79.5,74.9,,RWD,5,4,Pickup,310,13,17 
2008 Nissan Titan,Nissan,Titan,2008,35600,20,56,Gas,79.5,74.9,,RWD,5,4,Pickup,310,12,17 
2024 Polestar 2,Polestar,2,2024,55300,19,,Electric,73.2,58.3,181.3,AWD,5,4,4dr,420,,
2023 Polestar 2,Polestar,2,2023,51900,19,,Electric,73.2,58.3,181.3,AWD,5,4,4dr,400,,
2022 Polestar 2,Polestar,2,2022,49900,19,,Electric,73.2,58.3,181.3,AWD,5,4,4dr,400,,
2023 Porsche Taycan,Porsche,Taycan,2023,97700,19,,Electric,77.4,55.5,195.8,AWD,4,4,4dr,370,,
2022 Porsche Taycan,Porsche,Taycan,2022,93700,19,,Electric,77.4,55.5,195.8,AWD,4,4,4dr,370,,
2021 Porsche Taycan,Porsche,Taycan,2021,90900,19,,Electric,77.4,55.5,195.8,AWD,4,4,4dr,370,,
2020 Porsche Taycan,Porsche,Taycan,2020,103800,19,,Electric,77.5,54.3,195.4,AWD,4,4,4dr,420,,
2024 Porsche Cayenne,Porsche,Cayenne,2024,79200,20,30,Gas,78.1,66.8,194.1,AWD,5,4,SUV,340,,
2023 Porsche Cayenne,Porsche,Cayenne,2023,72200,19,30,Gas,78.1,66.8,193.7,AWD,5,4,SUV,330,17,22 
2022 Porsche Cayenne,Porsche,Cayenne,2022,69000,19,30,Gas,78.1,66.8,193.7,AWD,5,4,SUV,330,17,22 
2021 Porsche Cayenne,Porsche,Cayenne,2021,67500,19,30,Gas,78.1,66.8,193.7,AWD,5,4,SUV,330,19,23 
2020 Porsche Cayenne,Porsche,Cayenne,2020,66800,19,30,Gas,78.1,66.8,193.7,AWD,5,4,SUV,330,19,23 
2019 Porsche Cayenne,Porsche,Cayenne,2019,65700,19,30,Gas,78,66.7,193.6,AWD,5,4,SUV,330,19,23 
2018 Porsche Cayenne,Porsche,Cayenne,2018,60600,18,36,Gas,78.7,67.4,191.1,AWD,5,4,SUV,300,18,24 
2017 Porsche Cayenne,Porsche,Cayenne,2017,59600,18,36,Gas,78.7,67.4,191.1,AWD,5,4,SUV,300,18,24 
2016 Porsche Cayenne,Porsche,Cayenne,2016,58300,18,36,Gas,78.7,67.4,191.1,AWD,5,4,SUV,300,19,24 
2015 Porsche Cayenne,Porsche,Cayenne,2015,61700,18,30,Diesel,78.7,67.4,191.1,AWD,5,4,SUV,240,20,29 
2014 Porsche Cayenne,Porsche,Cayenne,2014,56600,18,30,Diesel,76.3,67.4,190.8,AWD,5,4,SUV,240,20,29 
2013 Porsche Cayenne,Porsche,Cayenne,2013,55750,18,30,Diesel,76.3,67.4,190.8,AWD,5,4,SUV,240,19,29 
2012 Porsche Cayenne,Porsche,Cayenne,2012,48200,18,36,Gas,76.3,67.1,190.8,AWD,5,4,SUV,300,15,22 
2011 Porsche Cayenne,Porsche,Cayenne,2011,47700,18,36,Gas,76.3,67.4,190.8,AWD,5,4,SUV,300,15,22 
2010 Porsche Cayenne,Porsche,Cayenne,2010,72400,21,48,Gas,75.9,66.9,188.9,AWD,5,4,SUV,400,11,17 
2009 Porsche Cayenne,Porsche,Cayenne,2009,70900,21,48,Gas,75.9,66.9,188.9,AWD,5,4,SUV,400,11,17 
2008 Porsche Cayenne,Porsche,Cayenne,2008,69200,21,48,Gas,75.9,66.9,188.9,AWD,5,4,SUV,400,13,18 
2023 Porsche Panamera,Porsche,Panamera,2023,97000,19,29,Gas,78.2,56,198.8,AWD,4,4,4dr,320,18,24 
2022 Porsche Panamera,Porsche,Panamera,2022,93000,19,29,Gas,78.2,56,198.8,AWD,4,4,4dr,320,18,24 
2021 Porsche Panamera,Porsche,Panamera,2021,91800,19,29,Gas,78.2,56,198.8,AWD,4,4,4dr,320,18,24 
2020 Porsche Panamera,Porsche,Panamera,2020,103300,21,30,Gas,76.3,56,198.8,RWD,4,4,4dr,330,19,27 
2019 Porsche Panamera,Porsche,Panamera,2019,90900,19,30,Gas,76.3,56,198.8,AWD,4,4,4dr,330,19,26 
2018 Porsche Panamera,Porsche,Panamera,2018,89600,19,30,Gas,76.3,56,198.8,AWD,4,4,4dr,330,21,27 
2017 Porsche Panamera,Porsche,Panamera,2017,89600,19,30,Gas,76.3,56,198.8,AWD,4,4,4dr,330,,
2016 Porsche Panamera,Porsche,Panamera,2016,78100,18,36,Gas,76,55.8,197.4,RWD,4,4,4dr,310,18,28 
2015 Porsche Panamera,Porsche,Panamera,2015,78100,18,36,Gas,76,55.8,197.4,RWD,4,4,4dr,310,18,28 
2014 Porsche Panamera,Porsche,Panamera,2014,78100,18,36,Gas,76,55.8,197.4,RWD,4,4,4dr,310,18,28 
2013 Porsche Panamera,Porsche,Panamera,2013,75850,18,36,Gas,76.0,55.8,195.7,RWD,4,4,4dr,300,18,27 
2012 Porsche Panamera,Porsche,Panamera,2012,75200,18,36,Gas,83.2,55.8,195.7,RWD,4,4,4dr,300,18,27 
2011 Porsche Panamera,Porsche,Panamera,2011,74400,18,36,Gas,76.0,55.8,195.7,RWD,4,4,4dr,300,18,27 
2010 Porsche Panamera,Porsche,Panamera,2010,93800,18,48,Gas,76,55.8,195.6,AWD,4,4,4dr,400,16,24 
2023 Porsche 718,Porsche,718,2023,92400,20,40,Gas,70.9,50.4,172.9,RWD,2,2,Convertible,390,,
2022 Porsche 718,Porsche,718,2022,100100,20,40,Gas,70.9,50.1,172.9,RWD,2,2,Convertible,390,,
2021 Porsche 718,Porsche,718,2021,98600,20,40,Gas,70.9,50.1,172.9,RWD,2,2,Convertible,390,,
2020 Porsche 718,Porsche,718,2020,59600,18,20,Gas,70.9,50.4,172.4,RWD,2,2,Convertible,300,20,26 
2019 Porsche 718,Porsche,718,2019,82800,20,25,Gas,70.9,50.1,173,RWD,2,2,Convertible,360,19,25 
2018 Porsche 718,Porsche,718,2018,81900,20,25,Gas,70.9,50.1,172.9,RWD,2,2,Convertible,360,19,25 
2017 Porsche 718,Porsche,718,2017,56000,18,20,Gas,70.9,50.4,172.4,RWD,2,2,Convertible,300,21,28 
2023 Porsche 911,Porsche,911,2023,126200,19,30,Gas,72.9,51.1,177.9,AWD,4,2,Convertible,370,18,24 
2022 Porsche 911,Porsche,911,2022,121300,19,30,Gas,72.9,51.1,177.9,AWD,4,2,Convertible,370,18,24 
2021 Porsche 911,Porsche,911,2021,119300,19,30,Gas,72.9,51.1,177.9,AWD,4,2,Convertible,370,18,24 
2020 Porsche 911,Porsche,911,2020,117500,19,30,Gas,72.9,51.1,177.9,AWD,4,2,Convertible,370,18,24 
2019 Porsche 911,Porsche,911,2019,110300,19,30,Gas,72.9,50.8,177.1,AWD,4,2,Convertible,370,19,28 
2018 Porsche 911,Porsche,911,2018,110300,19,30,Gas,72.9,50.7,177.1,AWD,4,2,Convertible,370,19,28 
2017 Porsche 911,Porsche,911,2017,108600,19,30,Gas,72.9,50.7,177.1,AWD,4,2,Convertible,370,19,28 
2016 Porsche 911,Porsche,911,2016,96200,19,34,Gas,71.2,51.3,176.8,RWD,4,2,Convertible,350,19,27 
2015 Porsche 911,Porsche,911,2015,96200,19,34,Gas,71.2,51.3,176.8,RWD,4,2,Convertible,350,19,27 
2014 Porsche 911,Porsche,911,2014,96200,19,34,Gas,71.2,51.3,176.8,RWD,4,2,Convertible,350,19,27 
2013 Porsche 911,Porsche,911,2013,93700,19,34,Gas,71.2,51.1,176.8,RWD,4,2,Convertible,350,19,27 
2012 Porsche 911,Porsche,911,2012,93700,19,34,Gas,71.2,51.3,176.8,RWD,4,2,Convertible,350,19,27 
2011 Porsche 911,Porsche,911,2011,88800,18,36,Gas,71.2,51.6,175.8,RWD,4,2,Convertible,340,18,26 
2010 Porsche 911,Porsche,911,2010,88800,18,36,Gas,71.2,51.6,175.6,RWD,4,2,Convertible,340,18,26 
2009 Porsche 911,Porsche,911,2009,87000,18,36,Gas,71.2,51.6,175.6,RWD,4,2,Convertible,340,18,26 
2008 Porsche 911,Porsche,911,2008,89700,18,36,Gas,71.2,51.6,175.6,RWD,4,2,Convertible,320,18,26 
2023 Porsche Macan,Porsche,Macan,2023,57500,19,20,Gas,76.1,63.8,186.1,AWD,5,4,SUV,260,19,25 
2022 Porsche Macan,Porsche,Macan,2022,54900,19,20,Gas,76.1,63.8,186.1,AWD,5,4,SUV,260,19,25 
2021 Porsche Macan,Porsche,Macan,2021,52100,18,20,Gas,76.2,63.9,184.9,AWD,5,4,SUV,240,19,23 
2020 Porsche Macan,Porsche,Macan,2020,50900,18,20,Gas,76.2,63.9,184.9,AWD,5,4,SUV,240,19,23 
2019 Porsche Macan,Porsche,Macan,2019,49900,18,20,Gas,76.2,63.9,184.9,AWD,5,4,SUV,240,19,23 
2018 Porsche Macan,Porsche,Macan,2018,47800,18,20,Gas,76.1,63.9,184.3,AWD,5,4,SUV,250,20,25 
2017 Porsche Macan,Porsche,Macan,2017,47500,18,20,Gas,76.1,63.9,184.3,AWD,5,4,SUV,250,20,25 
2016 Porsche Macan,Porsche,Macan,2016,52600,19,30,Gas,76.1,63.4,184.3,AWD,5,4,SUV,340,17,23 
2015 Porsche Macan,Porsche,Macan,2015,49900,19,30,Gas,76.1,63.4,184.3,AWD,5,4,SUV,340,17,23 
2024 Ram 1500,Ram,1500,2024,46535,18,36,Gas/Electric,82.1,77.5,232.9,RWD,6,4,Pickup,300,20,25 
2023 Ram 1500,Ram,1500,2023,45870,18,36,Gas/Electric,82.1,77.5,232.9,RWD,6,4,Pickup,300,20,25 
2022 Ram 1500,Ram,1500,2022,45005,18,36,Gas/Electric,82.1,77.5,232.9,RWD,6,4,Pickup,300,20,25 
2021 Ram 1500,Ram,1500,2021,39965,18,36,Gas/Electric,82.1,77.5,232.9,RWD,6,4,Pickup,300,20,25 
2020 Ram 1500,Ram,1500,2020,39390,18,36,Gas/Electric,82.1,77.5,232.9,RWD,6,4,Pickup,300,20,25 
2019 Ram 1500,Ram,1500,2019,38990,18,36,Gas/Electric,82.1,77.5,232.9,RWD,6,4,Pickup,300,20,25 
2018 Ram 1500,Ram,1500,2018,37795,20,36,Gas,79.4,76.9,229,RWD,6,4,Pickup,300,17,25 
2017 Ram 1500,Ram,1500,2017,37595,20,36,Gas,79.4,76.9,229,RWD,6,4,Pickup,300,17,25 
2016 Ram 1500,Ram,1500,2016,37380,20,36,Gas,79.4,76.9,229,RWD,6,4,Pickup,300,17,25 
2015 Ram 1500,Ram,1500,2015,36170,20,36,Gas,79.4,76.9,229,RWD,6,4,Pickup,300,17,25 
2014 Ram 1500,Ram,1500,2014,35695,20,36,Gas,79.4,76.9,229,RWD,6,4,Pickup,300,17,25 
2013 Ram 1500,Ram,1500,2013,34280,20,57,Gas,79.4,75.100,,RWD,6,4,Pickup,390,14,20 
2012 Ram 1500,Ram,1500,2012,33220,20,57,Gas,79.4,75.1,,RWD,6,4,Pickup,390,14,20 
2011 Ram 1500,Ram,1500,2011,32165,20,57,Gas,79.4,75.1,,RWD,6,4,Pickup,390,14,19 
2023 Ram 2500,Ram,2500,2023,55775,18,64,Gas,79.5,78.2,238.8,RWD,6,4,Pickup,410,,
2022 Ram 2500,Ram,2500,2022,52755,18,64,Gas,79.5,78.2,238.8,RWD,6,4,Pickup,410,,
2021 Ram 2500,Ram,2500,2021,43630,18,64,Gas,79.5,78.2,238.8,RWD,6,4,Pickup,410,,
2020 Ram 2500,Ram,2500,2020,42350,18,64,Gas,79.5,78.2,238.8,RWD,6,4,Pickup,410,,
2019 Ram 2500,Ram,2500,2019,42350,18,64,Gas,79.5,78.2,238.8,RWD,6,4,Pickup,410,,
2018 Ram 2500,Ram,2500,2018,41895,18,57,Gas,79.5,78,237.4,RWD,6,4,Pickup,380,,
2017 Ram 2500,Ram,2500,2017,40845,18,57,Gas,79.5,78,237.4,RWD,6,4,Pickup,380,,
2023 Rivian R1T,Rivian,R1T,2023,79000,21,,Electric,79,78.2,217.1,AWD,5,4,Pickup,530,,
2022 Rivian R1T,Rivian,R1T,2022,73000,21,,Electric,79,78.2,217.1,AWD,5,4,Pickup,600,,
2023 Rivian R1S,Rivian,R1S,2023,84000,21,,Electric,81.8,77.3,200.8,AWD,7,4,SUV,530,,
2023 Subaru Solterra,Subaru,Solterra,2023,48495,20,,Electric,73.2,65.1,184.6,AWD,5,4,SUV,210,,
2024 Subaru Legacy,Subaru,Legacy,2024,24895,17,25,Gas,72.4,59.1,191.1,AWD,5,4,4dr,180,27,35 
2023 Subaru Legacy,Subaru,Legacy,2023,24395,17,25,Gas,72.4,59.1,191.1,AWD,5,4,4dr,180,27,35 
2022 Subaru Legacy,Subaru,Legacy,2022,23495,17,25,Gas,72.4,59.1,190.6,AWD,5,4,4dr,180,27,35 
2021 Subaru Legacy,Subaru,Legacy,2021,22895,17,25,Gas,72.4,59.1,190.6,AWD,5,4,4dr,180,27,35 
2020 Subaru Legacy,Subaru,Legacy,2020,22745,17,25,Gas,72.4,59.1,190.6,AWD,5,4,4dr,180,27,35 
2019 Subaru Legacy,Subaru,Legacy,2019,22545,17,25,Gas,72.4,59,188.8,AWD,5,4,4dr,170,25,34 
2018 Subaru Legacy,Subaru,Legacy,2018,22195,17,25,Gas,72.4,59,188.8,AWD,5,4,4dr,170,25,34 
2017 Subaru Legacy,Subaru,Legacy,2017,21995,17,25,Gas,72.4,59,188.8,AWD,5,4,4dr,170,25,34 
2016 Subaru Legacy,Subaru,Legacy,2016,21745,17,25,Gas,72.4,59,188.8,AWD,5,4,4dr,170,26,36 
2015 Subaru Legacy,Subaru,Legacy,2015,21695,17,25,Gas,72.4,59,188.8,AWD,5,4,4dr,170,26,36 
2014 Subaru Legacy,Subaru,Legacy,2014,21295,16,25,Gas,71.7,59.3,187.2,AWD,5,4,4dr,170,24,32 
2013 Subaru Legacy,Subaru,Legacy,2013,21295,16,25,Gas,71.7,59.300,187.2,AWD,5,4,4dr,170,24,32 
2012 Subaru Legacy,Subaru,Legacy,2012,20995,16,25,Gas,71.7,59.3,186.4,AWD,5,4,4dr,170,23,31 
2011 Subaru Legacy,Subaru,Legacy,2011,20995,16,25,Gas,71.7,59.3,186.4,AWD,5,4,4dr,170,23,31 
2010 Subaru Legacy,Subaru,Legacy,2010,20995,16,25,Gas,71.7,59.3,186.4,AWD,5,4,4dr,170,23,31 
2009 Subaru Legacy,Subaru,Legacy,2009,21795,17,25,Gas,69.7,59.1,188.7,AWD,5,4,4dr,170,20,26 
2024 Subaru Outback,Subaru,Outback,2024,28895,17,25,Gas,74.2,66.4,191.9,AWD,5,4,SUV,180,26,32 
2023 Subaru Outback,Subaru,Outback,2023,28395,17,25,Gas,73,66.4,191.1,AWD,5,4,SUV,180,26,32 
2022 Subaru Outback,Subaru,Outback,2022,27645,17,25,Gas,73,66.4,191.3,AWD,5,4,SUV,180,26,33 
2021 Subaru Outback,Subaru,Outback,2021,26795,17,25,Gas,73,66.4,191.3,AWD,5,4,SUV,180,26,33 
2020 Subaru Outback,Subaru,Outback,2020,26645,17,25,Gas,73,66.4,191.3,AWD,5,4,SUV,180,26,33 
2019 Subaru Outback,Subaru,Outback,2019,26345,17,25,Gas,72.4,66.1,189.6,AWD,5,4,SUV,170,25,32 
2018 Subaru Outback,Subaru,Outback,2018,25895,17,25,Gas,72.4,66.1,189.6,AWD,5,4,SUV,170,25,32 
2017 Subaru Outback,Subaru,Outback,2017,25645,17,25,Gas,72.4,66.1,189.6,AWD,5,4,SUV,170,25,32 
2016 Subaru Outback,Subaru,Outback,2016,24995,17,25,Gas,72.4,66.1,189.6,AWD,5,4,SUV,170,25,33 
2015 Subaru Outback,Subaru,Outback,2015,24895,17,25,Gas,72.4,66.1,189.6,AWD,5,4,SUV,170,25,33 
2014 Subaru Outback,Subaru,Outback,2014,24495,16,25,Gas,71.7,65.8,189,AWD,5,4,SUV,170,24,30 
2013 Subaru Outback,Subaru,Outback,2013,24495,16,25,Gas,71.7,66.1,189.0,AWD,5,4,Station Wagon,170,24,30 
2012 Subaru Outback,Subaru,Outback,2012,24295,16,25,Gas,71.7,65.7,188.2,AWD,5,4,Station Wagon,170,22,29 
2011 Subaru Outback,Subaru,Outback,2011,24195,16,25,Gas,71.7,65.7,188.2,AWD,5,4,Station Wagon,170,22,29 
2010 Subaru Outback,Subaru,Outback,2010,23995,16,25,Gas,71.7,65.7,188.2,AWD,5,4,Station Wagon,170,22,29 
2009 Subaru Outback,Subaru,Outback,2009,23295,16,25,Gas,69.7,63.2,188.7,AWD,5,4,Station Wagon,160,20,26 
2024 Subaru Forester,Subaru,Forester,2024,27095,17,25,Gas,71.5,67.5,182.7,AWD,5,4,SUV,180,26,33 
2023 Subaru Forester,Subaru,Forester,2023,26395,17,25,Gas,71.5,67.5,182.7,AWD,5,4,SUV,180,26,33 
2022 Subaru Forester,Subaru,Forester,2022,25895,17,25,Gas,71.5,67.5,182.7,AWD,5,4,SUV,180,26,33 
2021 Subaru Forester,Subaru,Forester,2021,24795,17,25,Gas,71.5,67.5,182.1,AWD,5,4,SUV,180,26,33 
2020 Subaru Forester,Subaru,Forester,2020,24495,17,25,Gas,71.5,67.5,182.1,AWD,5,4,SUV,180,26,33 
2019 Subaru Forester,Subaru,Forester,2019,24295,17,25,Gas,71.5,67.5,182.1,AWD,5,4,SUV,180,26,33 
